feature,count
Eco3ºT(semanas),10
MetodoInd_1-misoprostol,10
IMCInicial,10
PartoAntTipo_2-instrumentado,10
Idade,9
EPF(percentil),9
MotivoCSAant_9-TPestacionário,9
Paridade,9
ComplicGravidez_2-DG,9
TipoInstrument_2-forceps,9
AumentoPonderal,9
TipoInstrument_SemPartoAnterior,9
ComplicGravidez_5-RCF,8
ComplicGravidez_0-semcomplicações,8
PC(mm),8
MotivoCSAant_3-patprópriadagravidez,8
MotivoCSAant_SemPartoAnterior,8
TipoInstrument_3-ventosa+forceps,8
MotivoCSAant_10-EFNTintraparto,8
MotivoInd_3-colestase,8
PatologiasPrevias_9-cirurgiabariátrica,8
MotivoInd_1-IG41sem,8
PatologiasPrevias_19-obesidade,8
PatologiasPrevias_11-SOP,8
ComplicGravidez_7-hidramnios,8
PartoAntTempoMeses,8
IGPPTAnterior,8
IG,8
MetodoInd_4-SF,8
ComplicGravidez_10-colestasegravídica,8
PartoAntTipo_1-csa,8
MetodoInd_3-ocitocina,8
EPF(pesoemg),8
pAB(mm),8
Bishop,8
ComplicGravidez_1-RPM,7
MotivoCSAant_8-Induçãofalhada,7
PartoAntTipo_3-PE,7
MotivoCSAant_7-suspdeIFP,7
MotivoCSAant_5-sit/apfetalanómala,7
MotivoInd_8-doençaautoimune,7
MotivoCSAant_11-outras,7
TipoInstrument_1-ventosa,7
ComplicGravidez_3-HTA,7
Altura,7
IMCfinal,7
PesoFinal,7
MotivoInd_4-DG,7
PatologiasPrevias_17-hematologica,7
PatologiasPrevias_0-sempatologias,7
MotivoInd_14-outro,7
MotivoInd_6-pré-eclâmpsia,7
MetodoInd_2-dinoprostona,7
MotivoInd_9-RCF,7
MotivoInd_15-CTGsuspeito,7
PatologiasPrevias_5-patologiaautoimune,7
PatologiasPrevias_18-infeciosa,7
PatologiasPrevias_8-doençarenalpoliquistica,7
PatologiasPrevias_10-nódulostiroideus,7
ComplicGravidez_9-trombocitopeniagestacional,7
PatologiasPrevias_13-ginecológica,7
PatologiasPrevias_4-trombofilia,7
DPB(mm),7
CSAAnt,6
Gesta,6
PPTAnterior,6
PartoAntTipo_5-CSA+instrumentado,6
PartoTermoAnterior,6
AE,6
PesoInicial,6
MotivoInd_10-patologiamaterna,6
PatologiasPrevias_12-Pneumológica,6
PatologiasPrevias_14-cardíaca,6
PatologiasPrevias_15-neurologica,6
PatologiasPrevias_1-DM,6
PatologiasPrevias_3-HTAc,6
MotivoInd_11-patologiafetal,6
PatologiasPrevias_6-patologiaoncológica,6
MotivoInd_7-trombofilia,6
MotivoInd_13-IGPMA,6
MotivoInd_12-RPM,6
PatologiasPrevias_2-hipotiroidismo,6
ComplicGravidez_4-pré-eclâmpsia,5
PartoAntTipo_4-CSA+PE,5
MotivoCSAant_6-gravidezmúltipla,5
PartoAntTipo_SemPartoAnterior,5
PartoAntTipo_6-PE+instrumentado,5
FL(mm),5
MotivoInd_5-HTA,5
ComplicGravidez_6-oligoamnios,5
MotivoInd_2-oligoamnios,5
PatologiasPrevias_20-outras,4
