experiment,total_features,femur_count,head_count,abdomen_count,image_total_count,tabular_count,femur_embs%,head_embs%,abdomen_embs%,image_total_%,tabular_%
exp_2026-02-06 23:36:05.706872,455,253,14,133,400,55,55.604395604395606,3.076923076923077,29.230769230769234,87.91208791208791,12.087912087912088
exp_2026-02-07 03:29:40.247277,2397,768,768,768,2304,93,32.040050062578224,32.040050062578224,32.040050062578224,96.12015018773467,3.879849812265332
exp_2026-02-07 06:42:41.816635,2397,768,768,768,2304,93,32.040050062578224,32.040050062578224,32.040050062578224,96.12015018773467,3.879849812265332
exp_2026-02-07 09:01:45.870477,2397,768,768,768,2304,93,32.040050062578224,32.040050062578224,32.040050062578224,96.12015018773467,3.879849812265332
exp_2026-02-07 12:41:53.706669,189,16,13,135,164,25,8.465608465608465,6.878306878306878,71.42857142857143,86.77248677248677,13.227513227513226
exp_2026-02-07 14:58:49.413777,257,12,0,166,178,79,4.669260700389105,0.0,64.59143968871595,69.26070038910505,30.739299610894943
exp_2026-02-07 18:21:47.791159,130,50,0,44,94,36,38.46153846153847,0.0,33.84615384615385,72.3076923076923,27.692307692307693
exp_2026-02-07 20:59:39.521683,2360,758,757,754,2269,91,32.11864406779661,32.07627118644068,31.949152542372882,96.14406779661017,3.855932203389831
exp_2026-02-07 23:31:22.068576,729,175,139,372,686,43,24.005486968449933,19.06721536351166,51.028806584362144,94.10150891632372,5.8984910836762685
exp_2026-02-08 07:13:27.264610,439,183,1,198,382,57,41.68564920273349,0.22779043280182232,45.10250569476082,87.01594533029613,12.984054669703873
