tab1,tab2,tab3,tab4,tab5,tab6,tab7,tab8,tab9,tab10,tab11,tab12,tab13,tab14,tab15,tab16,tab17,tab18,tab19,tab20,tab21,tab22,tab23,tab24,tab25,tab26,tab27,tab28,tab29,tab30,tab31,tab32,tab33,tab34,tab35,tab36,tab37,tab38,tab39,tab40,tab41,tab42,tab43,tab44,tab45,tab46,tab47,tab48,tab49,tab50,tab51,tab52,tab53,tab54,tab55,tab56,tab57,tab58,tab59,tab60,tab61,tab62,tab63,tab64,tab65,tab66,tab67,tab68,tab69,tab70,tab71,tab72,tab73,tab74,tab75,tab76,tab77,tab78,tab79,tab80,tab81,tab82,tab83,tab84,tab85,tab86,tab87,tab88,tab89,tab90,tab91,tab92,tab93,tab94,tab95,tab96,tab97,tab98,tab99,tab100,tab101,tab102,tab103,tab104,tab105,tab106,tab107,tab108,tab109,tab110,tab111,tab112,tab113,tab114,tab115,tab116,tab117,tab118,tab119,tab120,tab121,tab122,tab123,tab124,tab125,tab126,tab127,tab128,tab129,tab130,tab131,tab132,tab133,tab134,tab135,tab136,tab137,tab138,tab139,tab140,tab141,tab142,tab143,tab144,tab145,tab146,tab147,tab148,tab149,tab150,tab151,tab152,tab153,tab154,tab155,tab156,tab157,tab158,tab159,tab160,tab161,tab162,tab163,tab164,tab165,tab166,tab167,tab168,tab169,tab170,tab171,tab172,tab173,tab174,tab175,tab176,tab177,tab178,tab179,tab180,tab181,tab182,tab183,tab184,tab185,tab186,tab187,tab188,tab189,tab190,tab191,tab192,label
-1.4809939,-0.38292006,-0.6661678,1.472786,-0.98159283,1.4451481,-0.277316,-1.6482137,0.13384607,0.13650817,-1.0750306,-0.83971196,0.59557587,0.82858986,0.25724405,0.46625632,0.8609708,1.0227609,0.28447467,-0.8659227,0.4006233,-1.5135195,-0.947687,1.3322626,0.55743307,-0.36415195,-1.3147604,0.9172665,0.12513275,-0.2986898,0.5485671,-0.25320423,-0.4439471,-0.005906374,1.1315625,-0.3905187,0.64227813,-0.6768877,-0.7968348,-2.7756636,0.54242104,-0.42476648,-0.843315,-0.057830717,0.38474765,0.33599558,-0.18314189,-0.48457587,0.27762982,0.22728264,-0.51527965,-1.3351393,0.49355114,1.2230364,1.3429316,-0.7616547,0.6326995,-1.5312104,-1.7180248,-0.09385315,0.1216739,0.45179218,-0.637407,-0.12990619,0.51247615,0.345505,0.94632775,0.32339084,-1.1627085,0.670378,-0.79204065,0.16460638,2.2080266,-0.9572652,0.5412831,-1.2917737,0.2629674,-0.47312334,-2.1983664,-0.96322834,-0.08944422,-1.2571267,-1.3893775,-2.0792027,0.10006713,-0.44529966,-1.2315314,-1.0134231,-1.8684069,0.3555831,1.0218145,-0.037427183,0.13771051,1.3195462,-1.6128939,-1.7508732,0.7465173,-0.39208275,-0.13235934,1.3406938,0.20769033,1.2528782,-0.1615661,0.9585837,0.41417667,0.68613446,1.634341,0.86442643,0.84502196,-1.0296842,-0.7360485,-0.69237894,1.0395346,1.1967064,-0.7158065,1.2027389,1.3622836,-0.28519842,-0.011191002,0.06258085,0.6247759,0.40636632,-0.4417401,0.2905624,-1.1047865,-0.6858133,0.1256942,-1.6136496,-1.3713169,0.81591624,2.2598002,-0.40731186,-0.53038055,-0.07511014,1.5580615,-0.71582264,-1.0810915,-0.17999882,-0.76662266,2.9664602,-0.3417124,0.8316282,0.72633296,-0.5104508,-0.99706864,-0.4695301,-0.7721104,0.9569586,1.5018672,0.069730386,2.1494486,0.3006337,-1.5328419,1.7384429,-0.14770822,1.1153814,-1.4101528,-1.9553667,-0.12256387,0.23879203,1.1943331,-0.44596645,-0.08465074,0.48417494,1.2909616,1.7968081,-0.43386486,1.0589343,1.0845685,0.6191311,-0.7139806,0.7500466,0.57250714,1.1150329,-1.03389,1.0103989,-0.011251269,0.7123505,1.5302355,1.6271894,-1.1953436,0.47317308,0.9529327,-0.91551054,-1.8323598,-1.5344131,-1.0639573,-0.5894119,1.1285452,-0.027059143,-0.12250201,0.72767234,0
-0.34102875,-0.7125096,0.095862545,-1.0377593,1.5958813,0.16081157,0.37004787,0.9250093,-0.80340606,0.89537656,2.3602185,1.2718271,0.3097107,-0.004982779,0.6261394,-0.021926519,-0.5384548,0.7276133,0.012067455,-0.8562629,-0.9804529,0.09402673,-1.5005535,0.660877,-0.32098946,0.53167325,0.1360733,0.8840068,0.90557814,0.2977075,0.91408145,-0.30409798,-1.619279,0.27982,-0.9416042,0.19015463,0.9536064,1.0240697,0.21333413,2.1035974,0.5132559,2.0854595,-1.0331368,0.17714065,-0.31748867,-1.1889315,-0.39593795,0.86543983,-1.24705,-0.8771572,-0.8924337,-1.4605622,2.8214748,-1.8417865,-0.8950573,-1.0017215,-0.5026686,-0.44170564,-0.25624925,-0.73521894,1.0240438,0.14494047,-1.0089947,0.40906224,1.4629898,1.5140129,-0.8780374,-2.0682313,-0.5908294,-1.1991193,-0.9886219,-1.4846635,0.33620396,-0.15930153,0.64163965,1.6589469,-0.80789316,-0.16335738,-0.060423616,-0.8830623,-0.1674372,0.7392501,-0.819596,-1.5030167,1.3288811,0.63236517,1.795016,-1.0121902,0.8921715,0.7710641,-0.7503682,-1.4658417,0.2563833,-0.50327975,0.7403747,0.11520163,-0.49023733,1.7780154,-1.6538612,-1.5414914,-1.9565767,0.5268666,-1.6390419,1.5890442,-1.1897414,0.30111086,1.3569413,0.07312123,1.1907201,1.4290751,0.5655069,2.078862,-0.5960758,-0.30407217,-0.21534668,-0.81310874,0.075534925,1.7142279,-0.84823066,-0.9219386,0.122210614,-1.1393449,-1.1561046,1.1710938,-1.119263,-0.329789,-1.7512594,-1.2515733,-0.2922726,0.76565754,-0.4666934,-0.56357443,0.80372643,0.5802605,1.0715228,-0.5735426,1.4539375,1.4576815,0.20058429,-2.2990654,1.0448315,0.59348077,0.6596943,-0.70425683,-1.5097277,0.14502664,-0.556375,1.9522005,0.30207437,0.5008149,-0.22370535,-1.1605297,0.556085,0.21412043,-0.3496451,0.92298996,0.56559575,-0.21573201,-0.16341929,0.34296504,-0.059103332,1.1364392,1.4603777,0.34125996,-0.61049366,0.29361936,1.1103749,-0.70501894,-0.5022537,0.65321535,-0.049933236,0.92033404,-0.09743179,-0.30433434,-0.8442827,-0.8256961,0.3804661,-1.4191496,0.9217917,-0.62630236,0.17305171,-1.7883687,-0.4661996,1.132836,0.37997165,-0.20496559,-0.860713,-1.6595174,0.1403801,2.0323465,0.1384286,-0.18092415,0
-1.4896848,-0.33664185,-0.64015263,1.5283464,-1.0178667,1.436257,-0.25532806,-1.6500441,0.30772913,0.2064352,-0.9937901,-0.7113287,0.6733784,0.8367913,0.4163965,0.36959994,0.7485862,1.0695792,0.10983069,-0.90350515,0.39218745,-1.5328388,-0.9362918,1.3765308,0.5990738,-0.495173,-1.3029824,0.9762453,0.24752098,-0.34258467,0.47079334,-0.28475288,-0.5059473,-0.048155326,1.0693209,-0.2968983,0.56541514,-0.81038415,-0.6292947,-2.8262358,0.54348457,-0.4687356,-0.8035571,-0.17388149,0.42294312,0.23105252,-0.23241682,-0.37508014,0.4611886,0.4581373,-0.57081604,-1.3205808,0.39398894,1.0649337,1.3078697,-0.59637773,0.58720577,-1.5078881,-1.8618727,-0.13592348,0.13132407,0.4620799,-0.6782707,-0.09455844,0.4825281,0.3591071,0.9115224,0.33318412,-0.99297196,0.5826859,-0.74039924,0.13273303,2.2180903,-0.75042963,0.52676195,-1.3229736,0.21094881,-0.5230689,-2.2685182,-0.98198277,-0.04458872,-1.3177456,-1.3000704,-2.1288595,0.17154148,-0.29826787,-1.3612605,-1.0455681,-1.7422332,0.5063138,0.91527843,-0.12624478,0.2711948,1.2479286,-1.6074396,-1.7255213,0.7942162,-0.37296876,-0.24639964,1.2325968,0.19616961,1.1154133,-0.27441955,1.0066713,0.4630391,0.68042266,1.7168664,0.74342066,0.92658556,-1.124224,-0.77703035,-0.6957054,0.97184837,1.2714967,-0.62502825,1.1611058,1.2876977,-0.49522755,-0.12533905,0.10846982,0.604889,0.49035242,-0.36453667,0.23109873,-1.3131957,-0.6680041,0.1073451,-1.6976916,-1.3360109,0.93085307,2.2719884,-0.4459167,-0.6767526,0.024907393,1.4835391,-0.59560406,-1.0506169,-0.22725216,-0.80484533,3.0672927,-0.38939592,0.71781313,0.7191493,-0.51533747,-1.0378649,-0.41611448,-0.75781405,1.0192239,1.4075525,0.034103155,2.1249707,0.26876193,-1.3313121,1.8135252,0.004881361,1.2084079,-1.5161067,-1.9058738,-0.08514141,0.26916665,1.1827351,-0.39353827,-0.13153972,0.41357026,1.1939884,1.6742601,-0.35386217,1.0444726,1.1048086,0.5921893,-0.6893106,0.8717418,0.64747804,1.0972451,-0.8865225,0.9760095,-0.076593064,0.7799517,1.5169046,1.7659739,-1.2144004,0.42698398,0.9965606,-0.84851015,-1.8858986,-1.465087,-1.2467167,-0.45592788,1.1073952,-0.015510898,-0.21634358,0.6573205,0
-0.3063856,-0.8489348,0.4854415,-0.126765,-0.16447486,-0.6026697,-0.48238894,-1.3958311,1.3819354,-0.547917,0.2127106,-1.4012965,-0.31196588,-1.2116306,0.2606599,-0.60325617,0.7656611,-0.091727294,-0.9521862,0.28401017,0.7565357,-0.56709826,0.32487103,-1.0400009,1.2276598,-0.69022655,-0.6487539,-0.78021264,-0.7655588,0.9026915,-0.41048235,0.6500816,0.83201116,-0.22552085,-0.5004914,0.6818593,-1.5437942,-0.5554914,-0.3592665,-1.5007362,-0.19802043,-1.0797192,1.9574188,2.743954,0.5459721,-0.8226175,1.5093422,-1.1827389,0.79132605,-0.48503032,0.08379757,-0.83614945,-1.2895136,1.6330765,-0.5879782,-0.32149312,-0.08158265,-0.51268995,-1.771988,-1.25856,0.8644792,-1.0800687,-1.1980374,-0.7109181,-1.2543932,-0.4957622,1.027431,0.22543447,0.1389722,1.5570617,-0.48980755,1.6895013,1.9037763,-1.4031217,-0.15654579,-0.15198644,0.9171925,0.61661905,-1.5228609,1.2000139,0.08581402,-1.66194,-0.11855899,-0.3803967,1.1832038,-0.6721087,-1.4744688,-0.68034977,-0.8389963,0.25041902,-0.03214452,-0.953426,0.38756698,0.28486124,-0.14509769,-0.7360512,-0.8477807,1.3188932,-0.24201207,1.6553093,2.368206,-1.5288085,0.13276395,-1.426444,-1.1169528,0.22590594,-0.39640036,1.1328323,-0.2571501,-0.8443536,0.2888443,-2.1275585,1.762855,0.095308304,0.23338751,0.38521796,0.77802616,-2.0133207,1.6205592,0.93575865,1.1174824,-0.7830714,0.28136307,-0.94002545,1.1647813,-0.037261188,0.51267105,1.0709896,-0.024986878,-1.2489496,1.2107302,0.113334484,0.65515536,-1.138194,0.08089953,-0.3080141,-0.6015985,0.9630574,-1.8956835,1.3014104,-0.5814426,0.16631074,0.89708847,0.3612967,0.6162798,-0.09193453,1.328118,1.9937114,1.7242322,0.59597695,1.312456,-0.45058784,-0.8071776,0.4935873,-0.8842359,-0.17177479,-0.9591132,-0.32539964,-0.71313447,-0.75170654,1.3226168,-1.3836135,1.5810883,0.9580853,0.25646737,-0.9000634,-2.315233,1.4029179,0.100721866,0.4776521,1.1622412,0.54011124,-0.31847078,0.8992887,0.33420885,0.16078806,-0.9952185,-0.09062859,0.7245193,-0.0038485518,-0.19947807,2.2480705,1.2326878,1.2007536,-1.3179082,-1.4700658,0.72644955,0.6091665,1.3028383,-1.489566,0.81295896,-0.092441134,0
-1.3507346,-0.54472756,-0.55924916,1.3291584,-0.978422,1.4576595,-0.42808735,-1.6610485,0.18483157,0.16806372,-1.0585265,-0.88109905,0.52907395,0.60616577,0.28676358,0.41754946,0.9496172,0.9803523,0.22313575,-0.7443698,0.4785063,-1.4797939,-0.83716214,1.0930787,0.62657815,-0.4127164,-1.3166748,0.80239075,-0.08417123,-0.22404303,0.4754042,-0.18054761,-0.38538745,-0.014012609,1.07924,-0.30941546,0.45385045,-0.6900151,-0.6908511,-2.8228781,0.5628582,-0.56124383,-0.60451883,0.2573501,0.36927655,0.20646161,-0.007772774,-0.54773,0.5030692,0.09498301,-0.4500538,-1.348382,0.31552225,1.3432668,1.321655,-0.7840084,0.48025844,-1.5248492,-1.9464071,-0.17893273,0.1906908,0.37228584,-0.8296557,-0.2511517,0.3148253,0.33283517,1.0620373,0.2985793,-1.1444612,0.88124293,-0.8311058,0.37526247,2.2547789,-1.0734384,0.5478891,-1.3178145,0.46350023,-0.45682108,-2.3339138,-0.777472,-0.10599215,-1.38731,-1.3159735,-2.0605466,0.21261431,-0.57984626,-1.3026925,-1.0994655,-1.9322383,0.32826328,0.9317607,-0.13614339,0.27671033,1.33834,-1.6072162,-1.7516363,0.58789116,-0.2013544,-0.12407342,1.4204017,0.4989218,1.0640455,-0.11394622,0.7029479,0.32673118,0.6534267,1.501059,0.85445005,0.8258232,-1.0808992,-0.6163274,-0.85737395,1.2225463,1.1707758,-0.67380965,1.1612382,1.4916092,-0.41528666,0.25844783,0.16348797,0.7353242,0.2536685,-0.33879972,0.2455404,-0.81875074,-0.78954965,0.10033556,-1.300081,-1.4163313,0.5653383,2.3311357,-0.2781685,-0.47467723,-0.21478613,1.4965243,-0.8285315,-1.1205329,0.053270455,-0.8762787,2.9359663,-0.44083872,0.7805702,0.7779828,-0.45667386,-0.86919177,-0.41373312,-0.59001994,1.1787685,1.6374599,0.13350274,2.1936028,0.1806623,-1.5785252,1.5282611,-0.25998566,1.0211244,-1.4860057,-1.9135461,-0.24304557,0.18212765,1.3133967,-0.66783065,0.039292797,0.55162835,1.3487061,1.7210721,-0.73472786,1.2528927,1.0255009,0.8104156,-0.5024163,0.67912185,0.4489849,1.1772301,-0.99642265,0.99795616,-0.0565389,0.55476606,1.5888969,1.4624225,-1.0842342,0.7650358,1.072441,-0.6913443,-1.9893425,-1.6625122,-0.912241,-0.46728164,1.1171216,-0.11942769,-0.07241985,0.71100277,0
-1.5207137,-0.19056387,-0.5298696,1.4835436,-0.9711286,1.3735424,-0.13551158,-1.6136851,0.4611157,0.05443005,-0.94857824,-0.7024894,0.64979595,0.83905023,0.46600035,0.31109273,0.53814787,1.140937,-0.1350524,-1.0049428,0.3184917,-1.5295728,-0.8781341,1.4299806,0.65820146,-0.6118984,-1.3302131,0.94675964,0.3524073,-0.25054213,0.30786544,-0.27531394,-0.44307142,-0.02202271,0.9390587,-0.2539617,0.4746924,-0.95969313,-0.6764309,-2.8852568,0.50183123,-0.44833514,-0.65608954,-0.13638563,0.44591463,0.11846674,-0.14486516,-0.43750924,0.43956357,0.53154767,-0.65593106,-1.4361336,0.25314194,1.0032648,1.2030367,-0.50050235,0.72642606,-1.489859,-1.8416914,-0.21385753,0.1319115,0.47097608,-0.655563,-0.0977471,0.4742337,0.31369624,0.9126768,0.29859087,-0.8182918,0.4259892,-0.66977537,0.25987056,2.3736339,-0.65980566,0.37692183,-1.2399564,0.23883706,-0.37987846,-2.2281706,-0.9757056,-0.02990282,-1.2227167,-1.3256404,-2.1128504,0.27637413,-0.16000122,-1.6485891,-1.142209,-1.6098416,0.68018556,0.8762083,-0.21127552,0.18734732,1.1272649,-1.5674715,-1.700502,0.784449,-0.19187029,-0.40477628,1.2394546,0.251824,0.9314085,-0.3649382,1.0839494,0.45592937,0.66908854,1.7439587,0.80437183,0.8581874,-1.0356872,-0.77530146,-0.7495544,1.04463,1.2600994,-0.5457218,1.0542771,1.179932,-0.6500091,-0.21003431,0.23776485,0.5744814,0.59148234,-0.32765102,0.057622913,-1.5140797,-0.5931405,0.06822799,-1.7841583,-1.3455849,0.9825637,2.1707096,-0.5889473,-0.7174741,0.00845661,1.3699701,-0.5236628,-1.1021832,-0.17976454,-0.993516,3.164868,-0.5184476,0.7548825,0.79601645,-0.49459875,-1.0959493,-0.5030573,-0.69017524,1.0622042,1.4917054,-0.059103955,2.1840963,0.35939753,-1.0982307,2.0392802,0.1809308,1.261156,-1.5464323,-1.8055288,-0.17532545,0.26513088,1.1066859,-0.19468786,0.04532406,0.45557296,0.8325665,1.4388715,-0.30111122,0.99136716,1.121749,0.45111147,-0.65861076,1.0677826,0.7898032,1.0698385,-0.7329523,0.9972215,-0.1842784,0.9862938,1.5074441,1.8692874,-1.3162844,0.35241455,1.0310355,-0.7112498,-1.9064568,-1.4683865,-1.2429066,-0.41870216,1.2142576,-0.031721283,-0.22236988,0.5561646,0
-1.4378531,-0.548474,-0.72032267,1.4248021,-1.1721238,1.4649351,-0.428305,-1.686957,0.066458635,-0.085320905,-1.0705993,-1.2495668,0.9020836,0.8049964,0.2705674,0.36294943,0.8815523,0.85114276,0.3989975,-0.7477093,0.21709134,-1.439289,-0.90811193,1.1371804,0.5243189,-0.37039384,-1.6535983,0.7552006,-0.09631671,-0.1797686,0.49004287,-0.25165284,-0.65603393,-0.034877386,0.9934819,-0.36367035,0.6117747,-0.8561819,-0.39953133,-2.478072,0.50267106,-0.5165924,-0.3598677,0.2721703,0.22685005,0.017017664,-0.49082616,-0.62563694,0.78570586,0.7283714,-0.2906845,-1.4359604,0.6626273,1.4008596,1.3821747,-0.79159445,0.8163393,-1.1786597,-2.0883453,0.18507047,0.0064140367,0.18575446,-0.8673485,-0.558836,0.2019756,0.21608415,1.0017136,0.34395355,-1.0378842,0.89005107,-0.70183307,0.046926666,2.3011272,-1.0024658,0.4783334,-1.3586689,0.18808103,-0.33236575,-2.244549,-0.7883547,-0.70681924,-1.4417062,-1.224757,-1.6549804,0.16045468,-0.88520837,-1.0881295,-0.78040797,-1.9850816,0.52574825,0.7693174,-0.5898955,0.41099298,1.1107115,-1.3383994,-1.7300314,0.50404966,0.000105777945,-0.25755176,1.3255126,0.34263664,0.93806267,-0.12187154,1.0185722,-0.06843132,0.6646686,1.6551987,0.36443773,0.8043988,-1.049818,-0.48337588,-0.8598265,1.0209571,1.237014,-0.6720611,1.3153553,1.3626034,-0.48298362,0.27430552,0.070281066,0.2707713,0.3239823,-0.2689245,0.2423394,-0.9121109,-1.0263672,-0.07678407,-1.2741404,-1.2724717,0.37409213,2.3530185,-0.20408395,-0.4034641,0.012462577,1.5987201,-0.8590952,-1.1108421,-0.15503262,-1.0496159,2.5928566,-0.25793862,1.009051,0.51461726,0.028104715,-0.5289791,-0.6057905,-0.90883297,1.2627933,1.6600002,0.03070635,2.0621846,0.1741376,-1.3906384,1.2378814,-0.14980835,1.1448038,-1.2717451,-1.73767,-0.051537108,0.027417298,1.2561222,-0.673086,0.30940723,0.33181727,1.364254,1.4937706,-0.63357526,1.0038463,1.4715114,0.4103241,-0.5375186,0.901996,0.45237806,1.2130808,-0.78046274,0.960583,0.16687822,0.6105298,1.8196912,1.9599462,-1.3271822,0.52350926,1.776915,-0.28079915,-2.0786464,-2.0631864,-0.8753683,-0.18824993,1.5282316,0.04932744,-0.0982749,0.5814719,0
-0.837116,-1.144625,-0.33375907,0.49002832,-0.5663366,0.3404244,-0.63136005,-2.016813,0.37710845,0.04207324,-0.741568,-1.2389487,0.10899484,-0.63000864,0.045809437,0.009060651,1.4815904,0.33094892,-0.055715263,0.0056682737,1.0845736,-1.3278714,-0.38116255,-0.05691649,0.998404,-0.33513945,-1.2335424,-0.048916783,-0.5674285,0.049460083,0.4425429,0.49993107,0.18038031,-0.28630364,0.373492,-0.05970227,-0.5942068,-0.20447664,-0.8523553,-2.1680162,0.40566024,-0.75501466,0.48871693,1.9287424,0.5391818,-0.2059033,0.7494159,-0.92564404,0.8137933,-0.77862155,0.06299412,-0.8616133,-0.4120817,2.1001704,0.5651255,-0.9831375,-0.058172345,-0.9362454,-2.1001747,-0.72589517,0.7252532,-0.4153412,-1.0506237,-0.4700375,-0.71065944,0.19079061,1.3185147,0.33064607,-1.0649796,1.7327626,-0.88948876,1.3786083,2.083051,-1.7191749,0.46192533,-0.86304975,0.84845716,-0.1855086,-2.0567317,0.48925546,-0.07207073,-1.7751495,-0.94164443,-1.1955521,0.6133022,-0.8984383,-0.9253051,-0.82812226,-1.8531307,-0.28606188,0.7895985,-0.5404698,0.23296697,1.383046,-0.8953654,-1.5560662,-0.18337351,0.2925063,0.23940988,1.9443778,1.7295256,-0.044333007,0.1785103,-0.54621756,-0.71967053,0.6261613,0.2763131,1.1393707,-0.0015212803,-1.1979358,-0.022148306,-1.7803202,1.6546869,0.6624651,-0.5011877,1.0669599,1.5962965,-1.0809007,1.4307574,0.50937825,1.0797938,-0.7634516,-0.2082648,-0.035121925,0.8365698,-0.5448664,0.4628472,0.3344567,-0.77002543,-0.75857633,2.1498554,0.22719048,0.59673953,-0.8168381,1.0922266,-0.8247318,-0.92421794,0.7183507,-1.3269721,1.9410348,-0.592082,0.6589064,0.73941594,-0.065632485,-0.07228614,-0.20632766,0.5297428,1.72992,1.9280456,0.79287434,1.9221069,-0.48561352,-2.0937617,0.7252467,-0.8215521,0.36930314,-1.0975747,-1.5260702,-0.48830014,-0.5894504,1.6084183,-1.4969305,0.5644506,0.7438439,1.6752585,0.7534284,-2.1663764,1.5784205,0.60820585,1.2708294,0.23068582,0.2539321,-0.24371266,1.1411437,-0.7115762,0.4499093,-0.25392494,-0.12349686,1.3291935,0.37686083,-0.3737291,2.1002212,1.1247809,0.056851752,-1.9516867,-1.8086404,0.075609654,-0.121735476,1.0727528,-0.96510834,0.51961964,0.7457766,0
0.7114749,-1.2984085,0.526006,-0.9612401,-0.0954333,-1.1720129,-0.5074268,-0.6944763,0.40917674,-0.17969942,0.13320486,-0.97896165,-0.7627816,-1.6657728,-0.019393299,-0.37060827,0.9993018,-0.79298466,-0.11878425,1.0087055,0.9197042,0.25861844,0.60308343,-1.7924643,0.7168475,0.38858172,-0.18518637,-1.1140728,-1.2760129,0.75745046,-0.49940905,0.951377,0.9488642,0.05960853,-1.0737197,0.37290677,-1.4903752,0.36873668,-0.45991078,0.32199132,-0.2197624,-0.42149705,1.6072769,2.7284038,-0.039506562,-0.5003908,1.7984878,-0.8483606,0.34637192,-1.6266198,0.6193455,0.20541365,-1.6713889,1.0602266,-1.1842743,-0.5423383,-0.80984986,0.32837775,-0.43716848,-1.4302136,0.9004576,-1.2081541,-0.4855871,-0.36226067,-1.1439095,-0.00770078,0.65658236,-0.07297205,0.3896947,1.6167061,-0.47681862,1.1033307,0.012294024,-1.5944343,0.038658354,0.54852974,0.9723737,0.23553534,-0.39007732,1.7372105,0.6635338,-1.1539284,0.6431763,0.6416259,1.1862442,-0.76332206,0.31512794,0.023346642,-0.43239468,-0.89184755,0.07629613,-0.49965242,-0.10047313,0.15659896,0.6775002,0.24138132,-0.9190987,1.0480483,0.56188303,0.8319954,2.0933354,-1.7109346,0.76360977,-2.5297923,-1.2881852,0.13270296,-1.4743478,1.2918252,-0.70891476,-0.24426672,0.438698,-1.30404,1.0826643,-0.7180986,-0.02971585,-0.09691617,0.5990623,-0.6674139,2.3483424,0.65696746,1.0722626,-1.8499312,0.45374975,-0.6289196,2.6260126,-0.13726243,0.4758754,2.3348413,0.6876151,-2.0752,-0.05717846,0.24409966,1.2613573,-1.5431478,-0.25516155,-0.2366348,0.13911504,1.3484021,-0.4684663,-0.7047091,-0.23274004,0.15351531,0.356034,0.13799925,0.98493576,0.5850901,1.9811317,0.7890802,1.1278862,1.0027465,0.08562204,-0.77704746,-0.8896669,-1.3063298,-1.2033466,-1.0012814,0.29960582,-0.020645041,-0.6076434,-0.7702222,0.9454658,-1.5430834,1.3644975,0.4549329,0.7699527,-0.6596032,-2.4934807,1.1841755,-0.9812426,1.1431966,0.97771734,-0.6471117,-1.271933,0.06399389,-0.25711066,-0.3222095,-0.5151753,-0.99487776,-0.011349882,-1.8841047,1.024681,2.348662,-0.22862397,1.0536387,-0.121502794,-0.34317753,1.6653036,0.55169344,0.010447908,-1.3442538,1.0983088,0.2616112,1
-0.13815165,-1.379296,0.10453785,-0.23630749,-0.10311415,-0.4307149,-0.54574573,-1.433019,0.7173228,-0.22476478,-0.1258817,-1.2096125,-0.24953093,-1.2418625,-0.015641509,-0.40468183,1.3680575,-0.41440684,-0.20854703,0.66230077,1.0889682,-0.7229569,0.08599707,-1.1561589,1.1905667,-0.14424977,-0.824854,-0.74803174,-1.1120584,0.53829503,-0.055179484,0.9321224,0.6241791,-0.25921977,-0.4423648,0.35954234,-1.321164,0.074757375,-0.5909772,-1.0774821,0.101843745,-0.7158766,1.5546426,2.8005362,0.33099672,-0.56780875,1.2890598,-1.0614151,0.7445235,-1.1657512,0.47546214,-0.33421433,-1.0350722,1.9859668,-0.3698404,-0.7234639,-0.4505604,-0.24345528,-1.6545304,-0.9591514,0.90782493,-0.99797595,-0.8911732,-0.75382525,-1.1790477,-0.14565532,1.0272231,0.16476528,-0.31098324,1.9082316,-0.71624744,1.6330321,1.3640581,-1.7464406,0.29468474,-0.20381579,1.0434813,0.17856033,-1.3038229,1.3784726,0.048841298,-1.6436584,-0.23066281,-0.27874535,0.95974123,-1.0281634,-0.4421184,-0.40456045,-1.1130179,-0.613397,0.27158737,-0.8678458,0.2235572,0.84042567,-0.09886967,-0.8065921,-0.8974525,0.8177469,0.37177074,1.7670276,2.268727,-1.1685092,0.47076592,-1.6924703,-1.365562,0.26839355,-0.6952475,1.1945683,-0.5524716,-0.86440724,0.40534776,-1.9597784,1.5212498,-0.038037278,-0.16425587,0.6522143,1.2568036,-1.289468,2.128092,0.73034626,1.1467589,-1.4589543,0.009931464,-0.4830025,1.9726452,-0.2548006,0.5912103,1.5159165,-0.033701453,-1.6542025,1.1462991,0.36800462,1.2110782,-1.2222002,0.4374287,-0.5221016,-0.35104382,1.0606264,-1.2415555,0.6679292,-0.5717558,0.29410124,0.59557796,0.2180336,0.76863205,0.04553566,1.302593,1.6574317,1.6905288,0.9118082,1.0675901,-0.8334031,-1.7154763,-0.32216197,-1.2614114,-0.35770383,-0.5437753,-0.7911564,-0.63731974,-0.92061734,1.4654807,-1.7201427,1.0750203,0.6426664,1.3083831,-0.3014977,-2.6504738,1.5315347,0.04845269,1.1305124,0.80980194,-0.12795421,-0.7429411,0.7566978,-0.26383024,-0.03672803,-0.55920756,-0.5677816,0.6972186,-0.59827965,0.23897077,2.505638,0.87172073,0.8385219,-1.1920445,-1.3198006,0.9750455,0.3810943,0.87097764,-1.3480934,0.8510785,0.36081904,1
