run,total_features,tab_emb_count,img_emb_count,tab_emb_%,img_emb_%
exp_2026-02-12 12:05:34.408339,860.0,92.0,768.0,10.69767441860465,89.30232558139535
exp_2026-02-12 12:16:50.886677,520.0,64.0,456.0,12.307692307692308,87.6923076923077
exp_2026-02-12 12:32:07.437648,140.0,31.0,109.0,22.142857142857142,77.85714285714286
exp_2026-02-12 12:48:33.782220,860.0,92.0,768.0,10.69767441860465,89.30232558139535
exp_2026-02-12 13:04:36.409059,59.0,43.0,16.0,72.88135593220339,27.11864406779661
exp_2026-02-12 13:18:46.420226,95.0,32.0,63.0,33.68421052631579,66.3157894736842
exp_2026-02-12 13:30:22.941959,404.0,79.0,325.0,19.554455445544555,80.44554455445545
exp_2026-02-12 13:40:33.794187,124.0,46.0,78.0,37.096774193548384,62.903225806451616
exp_2026-02-12 13:59:01.110926,860.0,92.0,768.0,10.69767441860465,89.30232558139535
exp_2026-02-12 14:17:02.557392,279.0,74.0,205.0,26.523297491039425,73.47670250896057
exp_2026-02-12 14:37:15.960873,860.0,92.0,768.0,10.69767441860465,89.30232558139535
exp_2026-02-12 14:47:38.351736,213.0,86.0,127.0,40.375586854460096,59.624413145539904
exp_2026-02-12 14:56:45.891453,763.0,78.0,685.0,10.222804718217562,89.77719528178244
exp_2026-02-12 15:49:08.283502,860.0,92.0,768.0,10.69767441860465,89.30232558139535
exp_2026-02-12 15:57:36.546869,257.0,89.0,168.0,34.63035019455253,65.36964980544747
exp_2026-02-12 16:19:52.368093,518.0,80.0,438.0,15.444015444015443,84.55598455598455
exp_2026-02-12 16:40:17.532435,224.0,49.0,175.0,21.875,78.125
exp_2026-02-12 16:52:38.804960,134.0,40.0,94.0,29.850746268656717,70.14925373134328
exp_2026-02-12 17:08:50.069072,84.0,35.0,49.0,41.666666666666664,58.333333333333336
exp_2026-02-12 17:18:47.876572,143.0,40.0,103.0,27.972027972027973,72.02797202797203
exp_2026-02-12 17:47:37.438914,818.0,85.0,733.0,10.39119804400978,89.60880195599022
exp_2026-02-12 17:58:47.623733,520.0,64.0,456.0,12.307692307692308,87.6923076923077
exp_2026-02-12 18:12:24.624727,505.0,52.0,453.0,10.297029702970297,89.70297029702971
exp_2026-02-12 18:28:13.543350,267.0,35.0,232.0,13.108614232209737,86.89138576779027
exp_2026-02-12 19:09:00.225520,860.0,92.0,768.0,10.69767441860465,89.30232558139535
exp_2026-02-12 19:19:50.509972,860.0,92.0,768.0,10.69767441860465,89.30232558139535
exp_2026-02-12 19:41:47.969335,321.0,44.0,277.0,13.707165109034268,86.29283489096574
exp_2026-02-12 20:09:05.014356,707.0,45.0,662.0,6.364922206506365,93.63507779349364
exp_2026-02-12 20:23:35.802975,355.0,42.0,313.0,11.830985915492958,88.16901408450704
exp_2026-02-12 20:39:22.447500,311.0,70.0,241.0,22.508038585209004,77.49196141479099
MEAN,459.3666666666667,64.9,394.46666666666664,20.72090693970517,79.27909306029483
STD,296.8006974772608,22.858409755530328,279.87678734034733,14.315945401301825,14.315945401301825
