feature,count
PartoAntTipo_1-csa,28
EPF(pesoemg),28
Bishop,27
Idade,26
Eco3ºT(semanas),26
FL(mm),26
PartoAntTipo_2-instrumentado,26
DPB(mm),25
IGPPTAnterior,25
Paridade,25
Altura,25
AumentoPonderal,25
MotivoInd_6-pré-eclâmpsia,25
AE,24
EPF(percentil),24
PartoTermoAnterior,24
MotivoCSAant_3-patprópriadagravidez,24
MotivoCSAant_8-Induçãofalhada,24
TipoInstrument_3-ventosa+forceps,24
MotivoInd_7-trombofilia,24
PPTAnterior,24
MotivoCSAant_9-TPestacionário,23
PartoAntTempoMeses,23
MetodoInd_3-ocitocina,23
PesoFinal,23
MetodoInd_1-misoprostol,23
PesoInicial,23
IMCfinal,23
MotivoInd_3-colestase,23
CSAAnt,23
PartoAntTipo_SemPartoAnterior,23
TipoInstrument_1-ventosa,22
ComplicGravidez_6-oligoamnios,22
PC(mm),22
Gesta,22
PartoAntTipo_4-CSA+PE,22
MotivoCSAant_5-sit/apfetalanómala,22
PatologiasPrevias_9-cirurgiabariátrica,21
MetodoInd_4-SF,21
MetodoInd_2-dinoprostona,21
IMCInicial,21
PatologiasPrevias_4-trombofilia,21
MotivoCSAant_6-gravidezmúltipla,21
TipoInstrument_SemPartoAnterior,21
PatologiasPrevias_10-nódulostiroideus,21
PartoAntTipo_3-PE,21
MotivoInd_9-RCF,21
MotivoInd_15-CTGsuspeito,21
MotivoInd_13-IGPMA,21
MotivoInd_1-IG41sem,21
MotivoInd_14-outro,21
MotivoInd_12-RPM,21
PatologiasPrevias_18-infeciosa,20
pAB(mm),20
ComplicGravidez_4-pré-eclâmpsia,20
ComplicGravidez_9-trombocitopeniagestacional,20
PatologiasPrevias_11-SOP,20
MotivoCSAant_SemPartoAnterior,20
TipoInstrument_2-forceps,20
MotivoCSAant_7-suspdeIFP,20
ComplicGravidez_10-colestasegravídica,20
PatologiasPrevias_14-cardíaca,20
PatologiasPrevias_6-patologiaoncológica,20
ComplicGravidez_5-RCF,20
PatologiasPrevias_15-neurologica,20
IG,19
MotivoInd_10-patologiamaterna,19
PatologiasPrevias_19-obesidade,19
MotivoCSAant_10-EFNTintraparto,19
PartoAntTipo_5-CSA+instrumentado,19
PatologiasPrevias_0-sempatologias,19
MotivoInd_4-DG,19
MotivoInd_5-HTA,19
PatologiasPrevias_5-patologiaautoimune,19
PatologiasPrevias_2-hipotiroidismo,19
ComplicGravidez_2-DG,19
MotivoInd_8-doençaautoimune,18
MotivoInd_2-oligoamnios,18
PartoAntTipo_6-PE+instrumentado,18
PatologiasPrevias_17-hematologica,18
ComplicGravidez_0-semcomplicações,18
ComplicGravidez_1-RPM,18
ComplicGravidez_7-hidramnios,17
MotivoCSAant_11-outras,17
PatologiasPrevias_8-doençarenalpoliquistica,17
MotivoInd_11-patologiafetal,17
PatologiasPrevias_3-HTAc,17
PatologiasPrevias_20-outras,17
PatologiasPrevias_13-ginecológica,16
PatologiasPrevias_1-DM,16
ComplicGravidez_3-HTA,15
PatologiasPrevias_12-Pneumológica,15
