run,total_features,tab_emb_count,img_emb_count,tab_emb_%,img_emb_%
exp_2026-02-10 15:07:39.556909,65.0,46.0,19.0,70.76923076923077,29.23076923076923
exp_2026-02-10 15:13:30.367763,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 15:18:24.140734,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 15:24:44.747434,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 15:32:21.894101,522.0,149.0,373.0,28.544061302681992,71.455938697318
exp_2026-02-10 15:45:34.721868,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 15:52:35.487473,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 15:59:27.565438,356.0,41.0,315.0,11.51685393258427,88.48314606741573
exp_2026-02-10 16:05:32.556275,175.0,67.0,108.0,38.285714285714285,61.714285714285715
exp_2026-02-10 16:14:34.633467,93.0,32.0,61.0,34.40860215053763,65.59139784946237
exp_2026-02-10 16:23:29.479245,822.0,171.0,651.0,20.802919708029197,79.1970802919708
exp_2026-02-10 16:32:21.268478,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 16:39:26.288279,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 16:47:59.313327,88.0,29.0,59.0,32.95454545454545,67.04545454545455
exp_2026-02-10 16:53:11.484266,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 17:03:48.531852,748.0,183.0,565.0,24.46524064171123,75.53475935828877
exp_2026-02-10 17:20:57.226381,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 17:30:57.552192,261.0,50.0,211.0,19.157088122605366,80.84291187739464
exp_2026-02-10 17:40:58.612268,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 17:48:03.714989,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 17:58:37.012288,834.0,163.0,671.0,19.544364508393286,80.45563549160671
exp_2026-02-10 18:06:18.331330,89.0,27.0,62.0,30.337078651685392,69.66292134831461
exp_2026-02-10 18:17:42.361638,58.0,16.0,42.0,27.586206896551722,72.41379310344827
exp_2026-02-10 18:30:30.683344,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 18:44:25.083167,438.0,94.0,344.0,21.461187214611872,78.53881278538813
exp_2026-02-10 18:52:29.981708,682.0,128.0,554.0,18.7683284457478,81.2316715542522
exp_2026-02-10 19:10:58.044715,960.0,192.0,768.0,20.0,80.0
exp_2026-02-10 19:19:41.567078,12.0,3.0,9.0,25.0,75.0
exp_2026-02-10 19:31:09.467139,708.0,102.0,606.0,14.40677966101695,85.59322033898304
exp_2026-02-10 19:40:12.962141,148.0,31.0,117.0,20.945945945945947,79.05405405405405
MEAN,619.3,127.6,491.7,23.965138256386435,76.03486174361358
STD,376.7244625580547,72.5185350861039,306.3624346738848,10.516560358388533,10.516560358388535
