run,total_features,tab_emb_count,img_emb_count,tab_emb_%,img_emb_%
exp_2026-02-11 12:32:00.382335,116.0,59.0,57.0,50.86206896551724,49.13793103448276
exp_2026-02-11 12:40:30.416379,656.0,497.0,159.0,75.76219512195122,24.23780487804878
exp_2026-02-11 12:51:14.115149,90.0,8.0,82.0,8.88888888888889,91.11111111111111
exp_2026-02-11 12:56:59.685592,721.0,345.0,376.0,47.8502080443828,52.1497919556172
exp_2026-02-11 13:06:07.927770,1536.0,768.0,768.0,50.0,50.0
exp_2026-02-11 13:15:28.040621,563.0,410.0,153.0,72.82415630550622,27.175843694493782
exp_2026-02-11 13:22:21.630438,45.0,14.0,31.0,31.11111111111111,68.88888888888889
exp_2026-02-11 13:30:14.458544,666.0,323.0,343.0,48.4984984984985,51.5015015015015
exp_2026-02-11 13:39:10.218752,97.0,73.0,24.0,75.25773195876289,24.742268041237114
exp_2026-02-11 13:49:38.421144,106.0,66.0,40.0,62.264150943396224,37.735849056603776
exp_2026-02-11 14:00:08.997815,314.0,89.0,225.0,28.343949044585987,71.65605095541402
exp_2026-02-11 14:05:53.125349,358.0,180.0,178.0,50.279329608938546,49.720670391061454
exp_2026-02-11 14:22:20.306603,1536.0,768.0,768.0,50.0,50.0
exp_2026-02-11 14:38:12.905167,349.0,181.0,168.0,51.862464183381086,48.137535816618914
exp_2026-02-11 14:59:36.376802,166.0,53.0,113.0,31.927710843373493,68.07228915662651
exp_2026-02-11 15:11:21.319751,1536.0,768.0,768.0,50.0,50.0
exp_2026-02-11 15:31:25.844360,172.0,95.0,77.0,55.23255813953488,44.76744186046512
exp_2026-02-11 15:49:06.061670,1536.0,768.0,768.0,50.0,50.0
exp_2026-02-11 16:00:43.186381,559.0,264.0,295.0,47.227191413237925,52.772808586762075
exp_2026-02-11 16:09:51.081375,654.0,285.0,369.0,43.57798165137615,56.42201834862385
exp_2026-02-11 16:22:48.910819,1162.0,581.0,581.0,50.0,50.0
exp_2026-02-11 16:31:51.877333,684.0,207.0,477.0,30.263157894736842,69.73684210526316
exp_2026-02-11 16:46:43.871016,887.0,452.0,435.0,50.958286358511835,49.041713641488165
exp_2026-02-11 17:12:47.520580,584.0,406.0,178.0,69.52054794520548,30.47945205479452
exp_2026-02-11 17:29:56.858745,1489.0,741.0,748.0,49.76494291470786,50.23505708529214
exp_2026-02-11 17:44:42.616791,1131.0,627.0,504.0,55.43766578249337,44.56233421750663
exp_2026-02-11 17:55:45.728181,129.0,122.0,7.0,94.57364341085271,5.426356589147287
exp_2026-02-11 18:06:50.288782,363.0,179.0,184.0,49.31129476584022,50.68870523415978
exp_2026-02-11 18:21:18.328814,1536.0,768.0,768.0,50.0,50.0
exp_2026-02-11 18:27:25.879077,1138.0,647.0,491.0,56.85413005272408,43.14586994727592
MEAN,695.9666666666667,358.1333333333333,337.8333333333333,51.28179546158386,48.71820453841614
STD,526.9259899175354,272.05193892208223,267.3578363236772,16.28314881917058,16.28314881917058
