test_type,context,metric,comparison,bonf_p,sig_95,sig_99
between_configs,all_features,fn,config_ii vs config_iv,3.4372881130409706e-05,True,True
between_configs,all_features,fn,config_iii vs config_iv,1.0,False,False
between_configs,all_samples,roc_auc,config_i vs config_ii,0.003655297878267551,True,True
between_configs,all_samples,roc_auc,config_i vs config_iii,0.00026658826935771577,True,True
between_configs,all_samples,roc_auc,config_i vs config_iv,2.3265706508659534e-05,True,True
between_configs,all_samples,roc_auc,config_ii vs config_iii,4.599212538357923e-05,True,True
between_configs,all_samples,roc_auc,config_ii vs config_iv,1.0386758369518373e-05,True,True
between_configs,all_samples,roc_auc,config_iii vs config_iv,0.5147780155454764,False,False
between_configs,all_samples,f1,config_i vs config_ii,0.899623461235441,False,False
between_configs,all_samples,f1,config_i vs config_iii,0.028540112723629333,True,False
between_configs,all_samples,f1,config_i vs config_iv,0.003300531094722484,True,True
between_configs,all_samples,f1,config_ii vs config_iii,0.22685361861591433,False,False
between_configs,all_samples,f1,config_ii vs config_iv,0.00558432373196949,True,True
between_configs,all_samples,f1,config_iii vs config_iv,1.0,False,False
between_configs,all_samples,tp,config_i vs config_ii,0.08447980157353437,False,False
between_configs,all_samples,tp,config_i vs config_iii,8.117946731981142e-05,True,True
between_configs,all_samples,tp,config_i vs config_iv,3.739651395016368e-05,True,True
between_configs,all_samples,tp,config_ii vs config_iii,9.811368909504214e-05,True,True
between_configs,all_samples,tp,config_ii vs config_iv,1.9911916534972805e-05,True,True
between_configs,all_samples,tp,config_iii vs config_iv,1.0,False,False
between_configs,all_samples,fp,config_i vs config_ii,1.0,False,False
between_configs,all_samples,fp,config_i vs config_iii,0.00022261038860456767,True,True
between_configs,all_samples,fp,config_i vs config_iv,0.00020382736024440398,True,True
between_configs,all_samples,fp,config_ii vs config_iii,0.00021307273140612536,True,True
between_configs,all_samples,fp,config_ii vs config_iv,0.0002732485240375697,True,True
between_configs,all_samples,fp,config_iii vs config_iv,1.0,False,False
between_configs,all_samples,tn,config_i vs config_ii,1.0,False,False
between_configs,all_samples,tn,config_i vs config_iii,0.00022261038860456767,True,True
between_configs,all_samples,tn,config_i vs config_iv,0.00020382736024440398,True,True
between_configs,all_samples,tn,config_ii vs config_iii,0.00021307273140612536,True,True
between_configs,all_samples,tn,config_ii vs config_iv,0.0002732485240375697,True,True
between_configs,all_samples,tn,config_iii vs config_iv,1.0,False,False
between_configs,all_samples,fn,config_i vs config_ii,0.08447980157353437,False,False
between_configs,all_samples,fn,config_i vs config_iii,8.117946731981142e-05,True,True
between_configs,all_samples,fn,config_i vs config_iv,3.739651395016368e-05,True,True
between_configs,all_samples,fn,config_ii vs config_iii,9.811368909504214e-05,True,True
between_configs,all_samples,fn,config_ii vs config_iv,1.9911916534972805e-05,True,True
between_configs,all_samples,fn,config_iii vs config_iv,1.0,False,False
between_configs,edca,roc_auc,config_i vs config_ii,0.004613903523646393,True,True
between_configs,edca,roc_auc,config_i vs config_iii,0.004974725767251482,True,True
between_configs,edca,roc_auc,config_i vs config_iv,0.0001555729871643182,True,True
between_configs,edca,roc_auc,config_ii vs config_iii,9.610614501463214e-05,True,True
between_configs,edca,roc_auc,config_ii vs config_iv,1.9067244568358948e-05,True,True
between_configs,edca,roc_auc,config_iii vs config_iv,0.5264383876353854,False,False
between_configs,edca,f1,config_i vs config_ii,1.0,False,False
between_configs,edca,f1,config_i vs config_iii,0.026686049111700215,True,False
between_configs,edca,f1,config_i vs config_iv,0.12831340639329494,False,False
between_configs,edca,f1,config_ii vs config_iii,0.03372209061129184,True,False
between_configs,edca,f1,config_ii vs config_iv,0.3338610524308009,False,False
between_configs,edca,f1,config_iii vs config_iv,1.0,False,False
between_configs,edca,tp,config_i vs config_ii,0.47718363736433167,False,False
between_configs,edca,tp,config_i vs config_iii,3.79491967983578e-05,True,True
between_configs,edca,tp,config_i vs config_iv,0.0003456680407928427,True,True
between_configs,edca,tp,config_ii vs config_iii,5.843232983185909e-05,True,True
between_configs,edca,tp,config_ii vs config_iv,0.0003314757019699288,True,True
between_configs,edca,tp,config_iii vs config_iv,1.0,False,False
between_configs,edca,fp,config_i vs config_ii,1.0,False,False
between_configs,edca,fp,config_i vs config_iii,0.000714785543192837,True,True
between_configs,edca,fp,config_i vs config_iv,0.0012789510861018752,True,True
between_configs,edca,fp,config_ii vs config_iii,0.0004304682451209586,True,True
between_configs,edca,fp,config_ii vs config_iv,0.0014826421472039055,True,True
between_configs,edca,fp,config_iii vs config_iv,1.0,False,False
between_configs,edca,tn,config_i vs config_ii,1.0,False,False
between_configs,edca,tn,config_i vs config_iii,0.000714785543192837,True,True
between_configs,edca,tn,config_i vs config_iv,0.0012789510861018752,True,True
